Sample,Time,Label,UPneumo,LPneumo,EDA1,Cardio1,Move1,DE,Aux02
2661,01:28.66,C46,52777.0,39764.0,119458.0,38853.0,,1.0,85.0
2662,01:28.70,C46,52740.0,39671.0,119466.0,39264.0,,1.0,90.0
2663,01:28.73,C46,52703.0,39631.0,119460.0,39308.0,,1.0,89.0
2664,01:28.76,C46,52667.0,39640.0,119450.0,39152.0,,1.0,86.0
2665,01:28.79,C46,52626.0,39656.0,119453.0,38963.0,,1.0,92.0
2666,01:28.83,C46,52585.0,39668.0,119461.0,38784.0,,1.0,90.0
2667,01:28.86,C46,52564.0,39679.0,119463.0,38805.0,,1.0,80.0
2668,01:28.90,C46,52543.0,39679.0,119466.0,38832.0,,1.0,85.0
2669,01:28.93,C46,52516.0,39679.0,119470.0,38869.0,,2.0,85.0
2670,01:28.96,C46,52500.0,39689.0,119469.0,38821.0,,5.0,80.0
2671,01:29.00,C46,52495.0,39695.0,119465.0,38773.0,,6.0,80.0
2672,01:29.03,C46,52479.0,39711.0,119457.0,38688.0,,5.0,85.0
2673,01:29.06,C46,52465.0,39711.0,119455.0,38570.0,,5.0,82.0
2674,01:29.09,C46,52457.0,39711.0,119444.0,38469.0,,3.0,85.0
2675,01:29.13,C46,52447.0,39711.0,119443.0,38432.0,,2.0,85.0
2676,01:29.16,C46,52436.0,39695.0,119450.0,38394.0,,2.0,85.0
2677,01:29.20,C46,52431.0,39684.0,119453.0,38322.0,,1.0,88.0
2678,01:29.23,C46,52431.0,39669.0,119452.0,38288.0,,1.0,89.0
2679,01:29.26,C46,52475.0,39659.0,119456.0,38854.0,,2.0,80.0
2680,01:29.29,C46,52559.0,39611.0,119448.0,39267.0,,1.0,86.0
2681,01:29.33,C46,52639.0,39604.0,119454.0,39338.0,,1.0,80.0
2682,01:29.36,C46,52697.0,39647.0,119464.0,39232.0,,1.0,80.0
2683,01:29.40,C46,52772.0,39711.0,119465.0,39152.0,,1.0,85.0
2684,01:29.43,C46,52879.0,39820.0,119469.0,38981.0,,1.0,80.0
2685,01:29.46,C46,52985.0,39929.0,119464.0,38800.0,,1.0,96.0
2686,01:29.50,C46,53049.0,40009.0,119460.0,38800.0,,1.0,90.0
2687,01:29.53,C46,53113.0,40095.0,119452.0,38816.0,,1.0,85.0
2688,01:29.56,C46,53231.0,40236.0,119448.0,38850.0,,1.0,88.0
2689,01:29.59,C46,53353.0,40383.0,119449.0,38826.0,,2.0,85.0
2690,01:29.63,C46,53433.0,40489.0,119439.0,38757.0,,1.0,90.0
