"Sample","Time","Label","UPneumo","LPneumo","EDA1","Cardio1","Move1","DE","Aux01"
294," 00:09.76"," ------13",33625,38356,116645,40437,-9.9,55,47413
295," 00:09.80"," ------13",33663,38388,116659,40405,-9.9,52,47402
296," 00:09.83"," ------13",33721,38463,116666,40352,-9.9,51,47253
297," 00:09.86"," ------13",33743,38527,116661,40394,-9.9,50,47253
298," 00:09.90"," ------13",33759,38548,116659,40666,-9.9,49,47184
299," 00:09.93"," ------13",33764,38548,116661,40922,-9.9,48,47120
300," 00:09.96"," ------13",33788,38543,116675,41045,-9.9,49,47541
301," 00:10.00"," ------13",33807,38559,116679,41033,-9.9,51,48246
302," 00:10.03"," ------13",33855,38578,116669,40934,-9.9,51,48281
303," 00:10.06"," ------13",33935,38591,116655,40800,-9.9,50,48051
304," 00:10.09"," --------",34009,38612,116656,40704,-9.9,49,47909
305," 00:10.13"," --------",34068,38660,116655,40682,-9.9,48,47786
306," 00:10.16"," --------",34180,38799,116653,40666,-9.9,46,47690
307," 00:10.19"," --------",34423,39113,116660,40690,-9.9,47,47696
308," 00:10.23"," --------",34591,39391,116674,40682,-9.9,49,47690
309," 00:10.26"," --------",34633,39481,116684,40629,-9.9,52,47701
310," 00:10.30"," --------",34623,39487,116686,40586,-9.9,54,47738
311," 00:10.33"," --------",34583,39444,116681,40466,-9.9,55,47664
312," 00:10.36"," --------",34553,39417,116670,40378,-9.9,55,47557
313," 00:10.40"," --------",34532,39407,116678,40357,-9.9,57,47514
314," 00:10.43"," --------",34500,39396,116690,40320,-9.9,59,47472
315," 00:10.46"," -----Yes",34463,39361,116689,40370,-9.9,59,47464
316," 00:10.50"," --------",34392,39247,116689,40816,-9.9,60,47459
317," 00:10.53"," --------",34351,39083,116695,41017,-9.9,62,47888
318," 00:10.56"," --------",34283,38939,116689,41008,-9.9,64,48416
319," 00:10.59"," --------",34233,38873,116692,40992,-9.9,67,48485
320," 00:10.63"," --------",34212,38831,116701,40917,-9.9,70,48325
321," 00:10.66"," --------",34175,38783,116692,40842,-9.9,72,48224
322," 00:10.69"," --------",34103,38716,116678,40789,-9.9,73,48181
323," 00:10.73"," --------",34004,38665,116699,40768,-9.9,75,48037
324," 00:10.76"," --------",33935,38617,116721,40746,-9.9,78,47968
325," 00:10.80"," --------",33871,38569,116720,40725,-9.9,80,47909
326," 00:10.83"," --------",33804,38513,116713,40682,-9.9,82,47944
327," 00:10.86"," --------",33759,38473,116725,40586,-9.9,86,47861
328," 00:10.90"," --------",33737,38463,116726,40576,-9.9,89,47850
329," 00:10.93"," --------",33711,38447,116730,40549,-9.9,91,47706
330," 00:10.96"," --------",33647,38420,116728,40496,-9.9,94,47578
331," 00:11.00"," --------",33599,38363,116721,40390,-9.9,96,47475
332," 00:11.03"," --------",33531,38319,116709,40515,-9.9,97,47478
333," 00:11.06"," --------",33435,38219,116725,40896,-9.9,100,47456
334," 00:11.09"," --------",33391,38116,116719,41002,-9.9,101,47706
335," 00:11.13"," --------",33401,38052,116715,41008,-9.9,102,48192
336," 00:11.16"," --------",33391,38025,116719,41002,-9.9,104,48586
337," 00:11.19"," --------",33340,37988,116730,40965,-9.9,108,48792
338," 00:11.23"," --------",33305,37956,116732,40826,-9.9,110,48554
339," 00:11.26"," --------",33300,37967,116727,40762,-9.9,110,48442
340," 00:11.30"," --------",33295,37967,116727,40741,-9.9,111,48266
341," 00:11.33"," --------",33252,37956,116732,40752,-9.9,112,48200
342," 00:11.36"," --------",33231,37940,116730,40725,-9.9,112,48042
343," 00:11.40"," --------",33231,37961,116736,40714,-9.9,113,47877
344," 00:11.43"," --------",33241,37967,116748,40704,-9.9,114,47840
345," 00:11.46"," --------",33233,37969,116734,40650,-9.9,114,47749
346," 00:11.50"," --------",33215,37954,116723,40579,-9.9,115,47830
347," 00:11.53"," --------",33224,37979,116713,40512,-9.9,115,47667
348," 00:11.56"," --------",33215,37983,116714,40448,-9.9,114,47638
349," 00:11.59"," --------",33209,37983,116717,40522,-9.9,114,47557
350," 00:11.63"," --------",33215,37977,116729,40794,-9.9,115,47525
351," 00:11.66"," --------",33199,37945,116741,40986,-9.9,116,47541
352," 00:11.69"," --------",33196,37871,116739,41058,-9.9,117,47976
353," 00:11.73"," --------",33172,37807,116755,41056,-9.9,119,48704
354," 00:11.76"," --------",33151,37780,116751,41018,-9.9,120,48784
355," 00:11.80"," --------",33156,37775,116733,40954,-9.9,121,48661
356," 00:11.83"," --------",33167,37783,116733,40853,-9.9,121,48509
357," 00:11.86"," --------",33172,37807,116736,40805,-9.9,121,48320
358," 00:11.90"," --------",33167,37823,116736,40800,-9.9,121,48218
359," 00:11.93"," --------",33177,37844,116732,40800,-9.9,120,48037
360," 00:11.96"," --------",33207,37879,116722,40781,-9.9,119,47882
361," 00:12.00"," --------",33240,37922,116713,40713,-9.9,118,47900
362," 00:12.03"," --------",33285,37973,116713,40649,-9.9,118,47744
363," 00:12.06"," --------",33330,38027,116721,40572,-9.9,119,47564
364," 00:12.09"," --------",33353,38057,116728,40517,-9.9,120,47509
365," 00:12.13"," --------",33375,38068,116726,40469,-9.9,119,47472
366," 00:12.16"," --------",33385,38089,116728,40458,-9.9,119,47514
367," 00:12.19"," --------",33425,38143,116725,40634,-9.9,118,47408
368," 00:12.23"," --------",33439,38169,116722,40976,-9.9,115,47306
369," 00:12.26"," --------",33460,38164,116722,41050,-9.9,114,47424
370," 00:12.30"," --------",33471,38159,116730,41082,-9.9,113,47925
371," 00:12.33"," --------",33479,38204,116719,41050,-9.9,112,48469
372," 00:12.36"," --------",33503,38271,116710,40992,-9.9,111,48453
373," 00:12.40"," --------",33535,38329,116716,40901,-9.9,109,48304
374," 00:12.43"," --------",33561,38383,116704,40848,-9.9,107,48250
375," 00:12.46"," --------",33601,38449,116714,40821,-9.9,107,48082
376," 00:12.50"," --------",33663,38530,116731,40822,-9.9,108,47932
377," 00:12.53"," --------",33743,38619,116715,40809,-9.9,108,47827
378," 00:12.56"," --------",33835,38712,116711,40752,-9.9,108,47737
379," 00:12.59"," --------",33903,38799,116708,40693,-9.9,106,47578
380," 00:12.63"," --------",33951,38847,116708,40672,-9.9,105,47621
381," 00:12.66"," --------",33983,38879,116712,40618,-9.9,104,47573
382," 00:12.69"," --------",34057,38927,116702,40557,-9.9,102,47488
383," 00:12.73"," --------",34127,38980,116702,40522,-9.9,101,47397
384," 00:12.76"," --------",34159,39017,116715,40533,-9.9,101,47402
385," 00:12.80"," --------",34180,39049,116724,40741,-9.9,100,47312
386," 00:12.83"," --------",34180,39055,116705,41026,-9.9,99,47410
